household_id,day,score,top_sensor,top_weight
H01,2025-01-02,5.02467155456543e-05,H01_S01,0.9439904689788818
H01,2025-01-03,2.0563602447509766e-05,H01_S01,0.9439448118209839
H01,2025-01-04,9.828805923461914e-05,H01_S01,0.944098174571991
H01,2025-01-05,8.64267349243164e-05,H01_S01,0.9442129731178284
H01,2025-01-06,4.172325134277344e-07,H01_S01,0.9442432522773743
H01,2025-01-07,7.152557373046875e-07,H01_S01,0.9442083835601807
H01,2025-01-08,3.9517879486083984e-05,H01_S01,0.9442857503890991
H01,2025-01-09,8.660554885864258e-05,H01_S01,0.9440523982048035
H01,2025-01-10,3.3736228942871094e-05,H01_S01,0.9442440867424011
H01,2025-01-11,1.4603137969970703e-05,H01_S01,0.944145917892456
H01,2025-01-12,6.705522537231445e-05,H01_S01,0.94408118724823
H01,2025-01-13,4.8995018005371094e-05,H01_S01,0.944176197052002
H01,2025-01-14,1.3470649719238281e-05,H01_S01,0.9442101120948792
H01,2025-01-15,2.2172927856445312e-05,H01_S01,0.9441000819206238
H01,2025-01-16,3.9696693420410156e-05,H01_S01,0.9440541863441467
H01,2025-01-17,5.060434341430664e-05,H01_S01,0.9442535638809204
H01,2025-01-18,5.608797073364258e-05,H01_S01,0.9441834092140198
H01,2025-01-19,4.45246696472168e-05,H01_S01,0.9442262649536133
H01,2025-01-20,5.9604644775390625e-06,H01_S01,0.9441186785697937
H01,2025-01-21,7.092952728271484e-06,H01_S01,0.9441415667533875
H01,2025-01-22,2.7418136596679688e-06,H01_S01,0.9442083835601807
H01,2025-01-23,2.181529998779297e-05,H01_S01,0.9442436695098877
H01,2025-01-24,2.4616718292236328e-05,H01_S01,0.9440803527832031
H01,2025-01-25,7.534027099609375e-05,H01_S01,0.9443048238754272
H01,2025-01-26,8.958578109741211e-05,H01_S01,0.94413822889328
H01,2025-01-27,2.0265579223632812e-06,H01_S01,0.9440739750862122
H01,2025-01-28,2.0265579223632812e-06,H01_S01,0.9441221356391907
H01,2025-01-29,8.821487426757812e-06,H01_S01,0.9442216753959656
H01,2025-01-30,9.310245513916016e-05,H01_S01,0.9442832469940186
H01,2025-01-31,2.4020671844482422e-05,H01_S01,0.9442793726921082
H01,2025-02-01,3.2007694244384766e-05,H01_S01,0.9442033767700195
H01,2025-02-02,1.3649463653564453e-05,H01_S01,0.944304883480072
H01,2025-02-03,1.1682510375976562e-05,H01_S01,0.9442338943481445
H01,2025-02-04,0.00023686885833740234,H01_S01,0.9440889358520508
H01,2025-02-05,0.0003447532653808594,H01_S01,0.9442261457443237
H01,2025-02-06,3.4868717193603516e-05,H01_S01,0.9441307187080383
H01,2025-02-07,4.029273986816406e-05,H01_S01,0.9440931081771851
H01,2025-02-08,2.86102294921875e-06,H01_S01,0.9441710710525513
H01,2025-02-09,4.7206878662109375e-05,H01_S01,0.9441547393798828
H01,2025-02-10,5.304813385009766e-06,H01_S01,0.9441820383071899
H01,2025-02-11,5.0067901611328125e-06,H01_S01,0.9441186189651489
H01,2025-02-12,3.606081008911133e-05,H01_S01,0.9442720413208008
H01,2025-02-13,1.0728836059570312e-06,H01_S01,0.9442699551582336
H01,2025-02-14,7.152557373046875e-07,H01_S01,0.9442378282546997
H02,2025-01-02,1.9311904907226562e-05,H02_S01,0.9441667199134827
H02,2025-01-03,8.344650268554688e-07,H02_S01,0.9441866278648376
H02,2025-01-04,8.046627044677734e-06,H02_S01,0.9441585540771484
H02,2025-01-05,9.5367431640625e-06,H02_S01,0.9442832469940186
H02,2025-01-06,4.696846008300781e-05,H02_S01,0.9439747333526611
H02,2025-01-07,3.063678741455078e-05,H02_S01,0.944210410118103
